Time;RPS
0;100.47561213489838
1;100.66840059070766
2;100.82969540547703
3;100.86779811600323
4;99.4050987010321
5;101.11821924334085
6;100.85284333971379
7;100.83074724405361
8;102.44256421299914
9;101.31745954295559
10;100.90585201533217
11;102.2284898078735
12;102.97547055815015
13;103.48731744324147
14;104.46054298031609
15;105.0515592265627
16;104.01441067607426
17;104.27716699785088
18;103.86411040945737
19;105.02530652996866
20;103.87543836104403
21;105.85993696830215
22;106.79430409585426
23;106.81575053436032
24;108.43214219952839
25;105.82595178548064
26;106.87437840290319
27;106.19363844020286
28;108.5037237167631
29;107.41614010201042
30;107.04288868554808
31;107.33049144983593
32;107.28732904770784
33;109.37161505734288
34;108.03315546027667
35;109.81279376767799
36;109.51653522455486
37;108.58315123962402
38;110.21428096547605
39;112.57353661737285
40;110.88950357441709
41;110.40534078315063
42;111.61975788734709
43;112.49027732121486
44;110.86440446682354
45;112.84366245015177
46;112.40422960793067
47;110.17843057871133
48;111.76272971715974
49;112.60085682892766
50;112.35281241993387
51;112.91667562800072
52;113.09171962454258
53;113.59818363634992
54;112.94051182748085
55;114.47281950606695
56;116.32036665510186
57;112.34194263260441
58;115.1444130282029
59;115.09964759524995
60;116.83402657707468
61;114.40112019561467
62;114.80138694037089
63;115.68064756723034
64;115.75370716288616
65;116.38833663991215
66;115.91942505387215
67;116.44734220034736
68;117.48501889208364
69;118.91342318052865
70;118.30454997391398
71;116.6310494713226
72;118.46076016256809
73;117.96394529574148
74;118.74485092587231
75;118.97789317218746
76;118.8255961566445
77;120.14545591230909
78;120.6828901019772
79;119.41713646258466
80;121.01852053534466
81;121.58225522415994
82;119.77272952268319
83;121.64313546470002
84;121.2171112651247
85;119.97673663877475
86;121.87573464450007
87;122.5570370704484
88;122.3640867603704
89;120.78017469753291
90;121.38688920915529
91;122.82126458397362
92;123.48196229761606
93;122.83291163099129
94;122.26950536098555
95;123.29395220325017
96;124.63454976976942
97;124.44912586992173
98;124.85146656545628
99;124.52557196177295
100;124.51770840850118
101;125.64677031546204
102;126.8698835150892
103;124.03745593625827
104;124.5684117230958
105;126.32691941866298
106;128.06054568754013
107;128.83071269684555
108;125.76833847096734
109;126.97718609030157
110;126.09329036827383
111;127.11430151579584
112;128.58930956773713
113;126.0393534925677
114;127.39985203707626
115;128.49700163670764
116;127.36042168121068
117;127.7668004043803
118;129.41315438964986
119;129.37431888895853
120;128.0091132721873
121;130.78590036277305
122;128.2282840346755
123;130.27829661804847
124;131.17713638520388
125;129.08029758171062
126;130.4005566770423
127;130.73259751142245
128;131.5555951853748
129;130.66973668400206
130;131.60349537925785
131;131.96142749967672
132;131.4879682726701
133;131.7280295095656
134;131.4535611869578
135;133.2320036093698
136;132.435554749644
137;132.68205201061295
138;134.23585583308665
139;134.12174616266455
140;134.6013472399012
141;133.37979744941106
142;134.5479053794184
143;137.13974471993674
144;134.27831715965516
145;135.02944873633544
146;135.1381476473041
147;134.76062946833656
148;135.52950946984683
149;134.8072387545775
150;134.9183294428477
151;134.58114460409232
152;137.2038060134593
153;135.3066332315517
154;135.45004168221257
155;135.72989929598995
156;136.1978246550142
157;137.2404700514616
158;138.34734369685052
159;137.5248923789359
160;136.45689277123344
161;136.58383998508916
162;137.02116314400985
163;137.26755056540205
164;137.947847061565
165;137.11264044660075
166;138.0489969789794
167;138.1197100789213
168;138.36203614758074
169;138.7489490650895
170;139.47613531385122
171;139.22505490495482
172;139.55214381820227
173;140.2368747912657
174;138.59730548543473
175;137.44958299910272
176;139.00270171049712
177;139.3717523625466
178;141.03965871064761
179;139.43235924011765
180;141.10031861673363
181;140.67702314475557
182;141.00253185280656
183;140.13431059853787
184;141.75096713286354
185;139.97309359931194
186;141.3334034357176
187;140.83230078026017
188;141.55187259925978
189;141.87143601978
